area,methods,path,handler_module,handler_name,source_file,source_line,template,auth_required,js_callers
super_admin,GET,/super-admin/users,web.routes.super_admin,list_super_admins_route,web/routes/super_admin.py,394,super_admin/users.html,super_admin,0
super_admin,POST,/super-admin/users,web.routes.super_admin,create_super_admin_route,web/routes/super_admin.py,411,super_admin/users.html;super_admin/_partials/_users_table.html,super_admin,0
super_admin,GET,/super-admin/users/partial,web.routes.super_admin,list_super_admins_partial,web/routes/super_admin.py,403,super_admin/_partials/_users_table.html,super_admin,0
super_admin,POST,/super-admin/users/{user_id}/deactivate,web.routes.super_admin,deactivate_super_admin_route,web/routes/super_admin.py,437,super_admin/users.html;super_admin/_partials/_users_table.html,super_admin,0
transactions,GET,/api/transactions/blotter,web.routes.transactions,get_blotter,web/routes/transactions.py,4212,_partials/transactions/_blotter.html,session,0
transactions,POST,/api/transactions/book,web.routes.transactions,post_book,web/routes/transactions.py,3188,_partials/transactions/_order_confirmation.html;_partials/transactions/_wizard.html,session,0
transactions,POST,/api/transactions/cash-position,web.routes.transactions,post_cash_position,web/routes/transactions.py,3543,_partials/transactions/_wizard.html,session,0
transactions,GET,/api/transactions/chooser,web.routes.transactions,get_chooser,web/routes/transactions.py,3968,_partials/transactions/_chooser.html,session,0
transactions,GET,/api/transactions/commitment-form,web.routes.transactions,get_commitment_form,web/routes/transactions.py,3712,_partials/transactions/_commitment_composer.html;_partials/transactions/_commitment_recalc.html;_partials/transactions/_order_composer.html;_partials/transactions/_order_recalc.html;_partials/transactions/_secondary_buy_composer.html;_partials/transactions/_secondary_buy_recalc.html;_partials/transactions/_secondary_sale_composer.html;_partials/transactions/_secondary_sale_recalc.html;_partials/transactions/_wizard_recalc.html,session,0
transactions,POST,/api/transactions/draft,web.routes.transactions,post_draft,web/routes/transactions.py,3056,_partials/transactions/_wizard.html,session,0
transactions,GET,/api/transactions/history,web.routes.transactions,get_history,web/routes/transactions.py,4725,_partials/transactions/_history.html,session,0
